,name,value
0,forward1.png,1
1,forward2.png,1
2,forward3.png,1
3,forward4.png,1
4,forward5.png,1
5,forward6.png,1
6,forward7.png,1
7,forward8.png,1
8,forward9.png,1
9,forward10.png,1
10,forward11.png,1
11,forward12.png,1
12,forward13.png,1
13,forward14.png,1
14,forward15.png,1
15,forward16.png,1
16,forward17.png,1
17,forward18.png,1
18,forward19.png,1
19,forward20.png,1
20,forward21.png,1
21,forward22.png,1
22,forward23.png,1
23,forward24.png,1
24,forward25.png,1
25,forward26.png,1
26,forward27.png,1
27,forward28.png,1
28,forward29.png,1
29,forward30.png,1
30,forward31.png,1
31,forward32.png,1
32,forward33.png,1
33,forward34.png,1
34,forward35.png,1
35,forward36.png,1
36,forward37.png,1
37,forward38.png,1
38,forward39.png,1
39,forward40.png,1
40,Forward Left41.png,7
41,Forward Left42.png,7
42,Forward Left43.png,7
43,forward44.png,1
44,Forward Left45.png,7
45,Forward Left46.png,7
46,Forward Left47.png,7
47,Forward Left48.png,7
48,Forward Left49.png,7
49,Forward Left50.png,7
50,Forward Left51.png,7
51,Forward Left52.png,7
52,Forward Left53.png,7
53,Forward Left54.png,7
54,Forward Left55.png,7
55,Forward Left56.png,7
56,Forward Left57.png,7
57,Forward Left58.png,7
58,Forward Left59.png,7
59,Forward Left60.png,7
60,Forward Left61.png,7
61,Forward Left62.png,7
62,forward63.png,1
63,forward64.png,1
64,forward65.png,1
65,forward66.png,1
66,forward67.png,1
67,forward68.png,1
68,forward69.png,1
69,forward70.png,1
70,forward71.png,1
71,forward72.png,1
72,forward73.png,1
73,forward74.png,1
74,forward75.png,1
75,forward76.png,1
76,forward77.png,1
77,forward78.png,1
78,forward79.png,1
79,forward80.png,1
80,forward81.png,1
81,forward82.png,1
82,forward83.png,1
83,forward84.png,1
84,forward85.png,1
85,forward86.png,1
86,forward87.png,1
87,forward88.png,1
88,forward89.png,1
89,forward90.png,1
90,forward91.png,1
91,forward92.png,1
92,forward93.png,1
93,forward94.png,1
94,forward95.png,1
95,forward96.png,1
96,forward97.png,1
97,forward98.png,1
98,forward99.png,1
99,forward100.png,1
100,forward101.png,1
101,forward102.png,1
102,forward103.png,1
103,forward104.png,1
104,forward105.png,1
105,forward106.png,1
106,forward107.png,1
107,forward108.png,1
108,forward109.png,1
109,forward110.png,1
110,forward111.png,1
